Record_ID,Train_ID,Route_ID,Station_ID,Travel_Date,Scheduled_Departure,Delay_Minutes,Passenger_Count,Cancellation_Flag,Delay_Reason,On_Time_Flag,Revenue_INR
26,TR0154,RT0133,ST0004,08-07-2025,08-07-2025 04:00,71,1161,No,Signal Failure,No,1134497
27,TR0014,RT0207,ST0078,21-05-2025,21-05-2025 15:30,0,315,No,No Delay,Yes,284695
28,TR0187,RT0051,ST0081,16-08-2025,16-08-2025 12:15,0,973,No,No Delay,Yes,1279463
29,TR0056,RT0106,ST0044,17-04-2025,17-04-2025 10:00,25,299,No,Weather,No,81327
30,TR0115,RT0184,ST0045,10-05-2025,10-05-2025 16:45,56,0,No,Track Maintenance,No,41584
31,TR0007,RT0201,ST0081,06-12-2025,06-12-2025 20:00,0,1031,No,No Delay,Yes,850251
32,TR0003,RT0011,ST0084,31-05-2025,31-05-2025 03:00,58,1190,No,Track Maintenance,No,829490
33,TR0111,RT0254,ST0047,01-08-2025,01-08-2025 16:00,0,160,No,No Delay,Yes,142813
34,TR0151,RT0150,ST0093,11-08-2025,11-08-2025 00:00,0,950,No,No Delay,Yes,1138051
35,TR0107,RT0096,ST0026,16-01-2025,16-01-2025 22:30,10,935,No,Congestion,Yes,747487
36,TR0018,RT0106,ST0081,21-05-2025,21-05-2025 05:00,0,1276,No,No Delay,Yes,1241326
37,TR0038,RT0143,ST0076,15-09-2025,15-09-2025 00:30,0,1150,No,No Delay,Yes,812702
38,TR0115,RT0166,ST0092,24-04-2025,24-04-2025 19:45,20,868,Yes,Signal Failure,No,325442
39,TR0015,RT0001,ST0009,17-11-2025,17-11-2025 06:45,78,1254,Yes,Weather,No,136618
40,TR0192,RT0046,ST0096,26-01-2025,26-01-2025 10:00,43,99,No,Crew Delay,No,38885
41,TR0119,RT0242,ST0098,13-10-2025,13-10-2025 21:45,40,587,No,Track Maintenance,No,590093
42,TR0028,RT0278,ST0080,07-02-2025,07-02-2025 09:30,0,316,No,No Delay,Yes,315030
43,TR0039,RT0003,ST0048,25-01-2025,25-01-2025 17:30,16,276,No,Weather,No,284278
44,TR0185,RT0142,ST0031,21-02-2025,21-02-2025 09:00,14,972,No,Congestion,Yes,296528
45,TR0017,RT0061,ST0055,05-12-2025,05-12-2025 18:15,0,495,No,No Delay,Yes,498899
46,TR0086,RT0294,ST0091,01-04-2025,01-04-2025 01:30,0,1309,No,No Delay,Yes,1857191
47,TR0126,RT0225,ST0093,18-05-2025,18-05-2025 00:45,0,1127,No,No Delay,Yes,736898
48,TR0044,RT0170,ST0001,28-07-2025,28-07-2025 13:15,31,1322,No,Signal Failure,No,354178
49,TR0025,RT0134,ST0091,02-03-2025,02-03-2025 11:15,15,1080,No,Technical Issue,Yes,579740
50,TR0145,RT0041,ST0096,21-04-2025,21-04-2025 14:00,28,332,No,Congestion,No,344024
51,TR0013,RT0231,ST0059,15-09-2025,15-09-2025 18:45,0,824,No,No Delay,Yes,656612
52,TR0025,RT0226,ST0011,03-12-2025,03-12-2025 21:15,69,730,No,Congestion,No,922652
53,TR0068,RT0139,ST0099,15-05-2025,15-05-2025 16:30,11,736,No,Weather,Yes,976045
54,TR0138,RT0110,ST0002,01-03-2025,01-03-2025 17:00,20,168,No,Track Maintenance,No,116844
55,TR0067,RT0297,ST0046,08-07-2025,08-07-2025 08:15,0,1174,No,No Delay,Yes,1691827
56,TR0109,RT0057,ST0001,02-12-2025,02-12-2025 00:15,101,896,No,Signal Failure,No,1171428
57,TR0146,RT0123,ST0070,23-04-2025,23-04-2025 00:00,32,770,No,Congestion,No,231097
58,TR0111,RT0240,ST0071,27-01-2025,27-01-2025 08:45,0,625,No,No Delay,Yes,218288
59,TR0111,RT0086,ST0066,01-01-2025,01-01-2025 18:00,53,1174,No,Signal Failure,No,1470518
60,TR0034,RT0176,ST0002,02-08-2025,02-08-2025 05:00,40,419,No,Congestion,No,474978
61,TR0111,RT0063,ST0069,27-03-2025,27-03-2025 18:15,16,385,No,Technical Issue,No,533333
62,TR0008,RT0039,ST0013,04-06-2025,04-06-2025 17:45,19,208,No,Weather,No,278302
63,TR0168,RT0138,ST0019,21-03-2025,21-03-2025 02:45,0,1325,No,No Delay,Yes,551921
64,TR0113,RT0241,ST0083,01-03-2025,01-03-2025 03:00,90,748,No,Signal Failure,No,996145
65,TR0083,RT0226,ST0047,05-11-2025,05-11-2025 10:45,2,980,No,No Delay,Yes,460374
66,TR0042,RT0206,ST0001,05-02-2025,05-02-2025 16:00,0,530,No,No Delay,Yes,447658
67,TR0169,RT0164,ST0099,18-10-2025,18-10-2025 02:00,21,1094,No,Crew Delay,No,1437842
68,TR0101,RT0027,ST0018,16-10-2025,16-10-2025 22:30,18,1035,No,Track Maintenance,No,915821
69,TR0006,RT0183,ST0032,21-11-2025,21-11-2025 01:30,0,1261,No,No Delay,Yes,787614
70,TR0180,RT0198,ST0096,29-12-2025,29-12-2025 22:00,13,1338,No,Crew Delay,Yes,827442
71,TR0026,RT0107,ST0072,24-06-2025,24-06-2025 03:30,23,1248,No,Technical Issue,No,726576
72,TR0064,RT0189,ST0011,20-12-2025,20-12-2025 22:15,61,325,No,Congestion,No,84178
73,TR0187,RT0036,ST0020,18-12-2025,18-12-2025 10:00,50,1226,Yes,Congestion,No,507406
74,TR0184,RT0085,ST0008,30-03-2025,30-03-2025 02:15,1,969,No,No Delay,Yes,582678
75,TR0059,RT0155,ST0092,28-02-2025,28-02-2025 22:00,54,427,No,Congestion,No,415532
76,TR0109,RT0169,ST0085,02-03-2025,02-03-2025 06:15,0,631,No,No Delay,Yes,562729
77,TR0198,RT0284,ST0038,30-08-2025,30-08-2025 18:30,34,282,No,Crew Delay,No,281724
78,TR0121,RT0272,ST0006,10-10-2025,10-10-2025 05:00,10,259,No,Crew Delay,Yes,261879
79,TR0033,RT0035,ST0002,13-08-2025,13-08-2025 15:00,0,273,No,No Delay,Yes,254077
80,TR0181,RT0184,ST0074,10-08-2025,10-08-2025 22:30,36,309,No,Technical Issue,No,377763
81,TR0150,RT0099,ST0073,31-03-2025,31-03-2025 20:15,30,1224,No,Crew Delay,No,1677968
82,TR0021,RT0237,ST0055,15-01-2025,15-01-2025 10:00,84,536,No,Signal Failure,No,322566
83,TR0198,RT0122,ST0003,31-12-2025,31-12-2025 00:30,74,670,No,Congestion,No,901607
84,TR0070,RT0023,ST0066,04-07-2025,04-07-2025 07:30,24,1204,No,Weather,No,523316
85,TR0112,RT0063,ST0100,23-07-2025,23-07-2025 03:45,0,1155,No,No Delay,Yes,1620569
86,TR0004,RT0150,ST0072,10-02-2025,10-02-2025 17:30,25,308,No,Congestion,No,259285
87,TR0094,RT0195,ST0073,20-06-2025,20-06-2025 02:30,65,213,No,Congestion,No,76949
88,TR0075,RT0080,ST0026,25-09-2025,25-09-2025 12:15,62,328,No,Signal Failure,No,457314
89,TR0190,RT0153,ST0098,15-07-2025,15-07-2025 05:00,106,1036,No,Signal Failure,No,357081
90,TR0062,RT0017,ST0048,07-09-2025,07-09-2025 02:00,23,1029,No,Technical Issue,No,1226552
91,TR0094,RT0039,ST0094,14-07-2025,14-07-2025 13:30,66,709,No,Track Maintenance,No,956407
92,TR0095,RT0202,ST0008,18-08-2025,18-08-2025 06:30,0,123,No,No Delay,Yes,58402
93,TR0152,RT0280,ST0067,06-04-2025,06-04-2025 17:45,0,1005,No,No Delay,Yes,372907
94,TR0055,RT0088,ST0075,06-08-2025,06-08-2025 03:30,0,570,No,No Delay,Yes,322792
95,TR0137,RT0300,ST0089,04-01-2025,04-01-2025 12:00,26,1307,No,Track Maintenance,No,1862769
96,TR0131,RT0292,ST0069,05-01-2025,05-01-2025 10:00,0,1111,No,No Delay,Yes,1260724
97,TR0031,RT0070,ST0076,15-02-2025,15-02-2025 09:45,46,1231,No,Congestion,No,1573911
98,TR0040,RT0124,ST0030,27-11-2025,27-11-2025 15:00,0,979,No,No Delay,Yes,581564
99,TR0036,RT0080,ST0027,06-05-2025,06-05-2025 10:45,37,787,No,Track Maintenance,No,256760
100,TR0152,RT0045,ST0043,17-05-2025,17-05-2025 23:30,99,222,Yes,Signal Failure,No,82906
101,TR0006,RT0233,ST0005,16-05-2025,16-05-2025 13:15,75,326,No,Congestion,No,81608
102,TR0066,RT0154,ST0020,10-11-2025,10-11-2025 07:45,66,1115,No,Weather,No,1546065
103,TR0075,RT0180,ST0052,25-12-2025,25-12-2025 07:00,34,591,No,Technical Issue,No,680041
104,TR0004,RT0031,ST0021,15-11-2025,15-11-2025 22:45,24,705,No,Crew Delay,No,914570
105,TR0079,RT0085,ST0003,08-07-2025,08-07-2025 05:15,45,1087,No,Congestion,No,1512778
106,TR0134,RT0045,ST0041,23-05-2025,23-05-2025 23:45,62,543,No,Congestion,No,382503
107,TR0118,RT0243,ST0064,14-03-2025,14-03-2025 22:45,26,626,No,Congestion,No,734451
108,TR0113,RT0040,ST0068,27-06-2025,27-06-2025 00:45,97,366,No,Technical Issue,No,382974
109,TR0094,RT0182,ST0088,16-12-2025,16-12-2025 05:00,83,1309,No,Signal Failure,No,1448730
110,TR0179,RT0297,ST0071,14-08-2025,14-08-2025 23:30,23,700,No,Congestion,No,777630
111,TR0062,RT0081,ST0024,05-10-2025,05-10-2025 13:30,28,399,No,Technical Issue,No,286190
112,TR0185,RT0038,ST0052,26-08-2025,26-08-2025 20:00,53,331,No,Technical Issue,No,284165
113,TR0194,RT0057,ST0075,04-04-2025,04-04-2025 05:30,94,1007,No,Signal Failure,No,1248206
114,TR0079,RT0030,ST0002,26-11-2025,26-11-2025 14:30,0,746,No,No Delay,Yes,924772
115,TR0136,RT0266,ST0044,16-07-2025,16-07-2025 17:00,24,1382,No,Signal Failure,No,410918
116,TR0026,RT0227,ST0041,05-03-2025,05-03-2025 14:15,0,968,No,No Delay,Yes,750356
117,TR0179,RT0292,ST0070,30-05-2025,30-05-2025 11:15,39,1327,No,Track Maintenance,No,1270843
118,TR0173,RT0054,ST0007,21-05-2025,21-05-2025 10:30,45,1394,No,Signal Failure,No,527435
119,TR0044,RT0097,ST0038,19-08-2025,19-08-2025 01:30,0,1280,No,No Delay,Yes,1310805
120,TR0133,RT0004,ST0082,02-09-2025,02-09-2025 01:45,28,164,No,Crew Delay,No,207013
121,TR0070,RT0091,ST0045,30-10-2025,30-10-2025 11:15,0,1341,No,No Delay,Yes,400835
122,TR0154,RT0089,ST0009,13-12-2025,13-12-2025 21:00,36,595,No,Crew Delay,No,827322
123,TR0118,RT0092,ST0053,04-10-2025,04-10-2025 20:00,22,801,No,Technical Issue,No,1134459
124,TR0068,RT0150,ST0028,31-01-2025,31-01-2025 05:15,94,1081,No,Technical Issue,No,1055404
125,TR0019,RT0234,ST0019,07-02-2025,07-02-2025 05:30,0,1183,No,No Delay,Yes,586777
126,TR0020,RT0059,ST0068,08-02-2025,08-02-2025 11:00,0,770,No,No Delay,Yes,564659
127,TR0113,RT0185,ST0004,13-06-2025,13-06-2025 03:45,1,1221,No,No Delay,Yes,625641
128,TR0140,RT0044,ST0013,22-12-2025,22-12-2025 06:15,23,731,No,Technical Issue,No,979982
129,TR0047,RT0180,ST0092,24-09-2025,24-09-2025 11:15,0,187,No,No Delay,Yes,128641
130,TR0001,RT0076,ST0011,10-03-2025,10-03-2025 08:30,59,1320,No,Congestion,No,591470
131,TR0090,RT0144,ST0002,17-10-2025,17-10-2025 06:45,53,1224,No,Congestion,No,424445
132,TR0142,RT0101,ST0070,17-08-2025,17-08-2025 15:15,85,622,No,Technical Issue,No,441820
133,TR0064,RT0272,ST0012,18-09-2025,18-09-2025 14:15,37,445,No,Signal Failure,No,309626
134,TR0038,RT0055,ST0037,20-01-2025,20-01-2025 21:30,38,764,No,Signal Failure,No,781462
135,TR0037,RT0189,ST0056,04-03-2025,04-03-2025 02:00,25,406,No,Track Maintenance,No,432715
136,TR0126,RT0077,ST0088,28-10-2025,28-10-2025 05:15,60,1126,No,Crew Delay,No,967903
137,TR0139,RT0296,ST0052,19-06-2025,19-06-2025 23:30,0,240,Yes,No Delay,No,68829
138,TR0100,RT0219,ST0073,13-01-2025,13-01-2025 13:30,0,246,No,No Delay,Yes,323935
139,TR0077,RT0277,ST0090,17-05-2025,17-05-2025 07:45,42,792,No,Congestion,No,328654
140,TR0003,RT0066,ST0004,12-08-2025,12-08-2025 03:45,68,649,No,Weather,No,596244
141,TR0161,RT0136,ST0004,04-04-2025,04-04-2025 12:00,55,527,No,Technical Issue,No,549110
142,TR0134,RT0234,ST0049,26-06-2025,26-06-2025 04:15,43,379,No,Crew Delay,No,258972
143,TR0178,RT0199,ST0052,14-12-2025,14-12-2025 19:45,0,263,Yes,No Delay,No,48917
144,TR0010,RT0266,ST0034,23-12-2025,23-12-2025 17:15,66,1101,No,Congestion,No,1381815
145,TR0005,RT0043,ST0022,05-06-2025,05-06-2025 10:15,21,243,No,Crew Delay,No,336377
146,TR0151,RT0228,ST0013,01-05-2025,01-05-2025 04:15,15,1248,No,Crew Delay,Yes,1431383
147,TR0138,RT0227,ST0063,20-06-2025,20-06-2025 16:15,19,396,Yes,Technical Issue,No,194464
148,TR0172,RT0063,ST0015,17-07-2025,17-07-2025 01:00,50,820,No,Congestion,No,1063313
149,TR0130,RT0171,ST0040,18-06-2025,18-06-2025 22:15,81,761,No,Track Maintenance,No,417215
150,TR0013,RT0250,ST0038,21-06-2025,21-06-2025 04:30,78,454,No,Signal Failure,No,619318
151,TR0168,RT0250,ST0055,06-06-2025,06-06-2025 07:15,50,573,No,Track Maintenance,No,333240
152,TR0130,RT0238,ST0044,20-11-2025,20-11-2025 05:00,0,1201,No,No Delay,Yes,680693
153,TR0084,RT0056,ST0066,29-07-2025,29-07-2025 07:00,0,1111,No,No Delay,Yes,342172
154,TR0065,RT0171,ST0066,08-10-2025,08-10-2025 01:15,1,903,No,No Delay,Yes,1060993
155,TR0063,RT0034,ST0043,15-07-2025,15-07-2025 07:45,44,331,No,Technical Issue,No,355844
156,TR0101,RT0130,ST0072,27-09-2025,27-09-2025 23:45,0,417,No,No Delay,Yes,552776
157,TR0073,RT0130,ST0038,06-07-2025,06-07-2025 06:15,33,931,No,Weather,No,1216647
158,TR0017,RT0151,ST0082,03-03-2025,03-03-2025 07:45,21,1306,No,Congestion,No,871375
159,TR0009,RT0143,ST0029,25-05-2025,25-05-2025 17:30,38,1276,No,Congestion,No,1601171
160,TR0143,RT0118,ST0075,14-08-2025,14-08-2025 21:30,74,1229,No,Technical Issue,No,814259
161,TR0152,RT0204,ST0056,27-04-2025,27-04-2025 06:15,0,288,No,No Delay,Yes,235410
162,TR0038,RT0235,ST0006,25-07-2025,25-07-2025 14:45,0,998,No,No Delay,Yes,1116277
163,TR0163,RT0017,ST0009,22-12-2025,22-12-2025 08:00,1,366,No,No Delay,Yes,310064
164,TR0094,RT0082,ST0022,07-03-2025,07-03-2025 13:30,2,764,No,No Delay,Yes,480686
165,TR0095,RT0014,ST0046,28-10-2025,28-10-2025 12:15,0,210,No,No Delay,Yes,201779
166,TR0049,RT0081,ST0089,23-11-2025,23-11-2025 02:00,39,539,No,Congestion,No,668433
167,TR0069,RT0207,ST0031,28-01-2025,28-01-2025 05:00,84,794,No,Weather,No,753309
168,TR0062,RT0204,ST0021,11-11-2025,11-11-2025 23:30,0,1103,No,No Delay,Yes,1207609
169,TR0188,RT0272,ST0038,21-09-2025,21-09-2025 03:45,1,588,No,No Delay,Yes,670284
170,TR0178,RT0032,ST0052,09-08-2025,09-08-2025 20:00,46,1090,No,Track Maintenance,No,596556
171,TR0078,RT0023,ST0019,10-01-2025,10-01-2025 17:15,0,1056,No,No Delay,Yes,1165773
172,TR0117,RT0102,ST0010,04-10-2025,04-10-2025 10:15,0,171,No,No Delay,Yes,185171
173,TR0120,RT0162,ST0046,18-10-2025,18-10-2025 06:45,0,373,No,No Delay,Yes,329237
174,TR0137,RT0098,ST0076,04-01-2025,04-01-2025 14:45,32,733,No,Congestion,No,907165
175,TR0162,RT0144,ST0083,30-06-2025,30-06-2025 23:45,19,612,No,Crew Delay,No,359904
176,TR0076,RT0104,ST0066,26-03-2025,26-03-2025 21:45,1,635,No,No Delay,Yes,172794
177,TR0035,RT0171,ST0079,25-01-2025,25-01-2025 10:15,0,655,No,No Delay,Yes,742911
178,TR0001,RT0064,ST0038,20-01-2025,20-01-2025 18:15,9,587,No,Crew Delay,Yes,368507
179,TR0040,RT0244,ST0062,18-07-2025,18-07-2025 08:00,26,1063,No,Track Maintenance,No,953883
180,TR0064,RT0071,ST0072,18-07-2025,18-07-2025 05:00,51,896,No,Crew Delay,No,1096223
181,TR0150,RT0274,ST0046,06-04-2025,06-04-2025 06:15,48,113,No,Congestion,No,46864
182,TR0060,RT0125,ST0035,06-04-2025,06-04-2025 07:45,0,135,No,No Delay,Yes,160784
183,TR0064,RT0107,ST0043,05-10-2025,05-10-2025 23:00,79,660,No,Weather,No,570022
184,TR0093,RT0148,ST0030,18-02-2025,18-02-2025 11:15,75,179,No,Congestion,No,61068
185,TR0072,RT0192,ST0073,30-03-2025,30-03-2025 23:15,19,803,No,Crew Delay,No,1000249
186,TR0011,RT0226,ST0063,06-01-2025,06-01-2025 18:30,0,631,No,No Delay,Yes,777342
187,TR0105,RT0242,ST0030,26-05-2025,26-05-2025 21:15,0,723,No,No Delay,Yes,458640
188,TR0014,RT0284,ST0083,12-01-2025,12-01-2025 13:00,72,403,No,Weather,No,309085
189,TR0060,RT0163,ST0029,28-01-2025,28-01-2025 22:45,12,1377,No,Congestion,Yes,1919201
190,TR0030,RT0008,ST0066,02-10-2025,02-10-2025 19:45,19,706,No,Technical Issue,No,947150
191,TR0035,RT0152,ST0092,12-02-2025,12-02-2025 19:00,30,248,No,Crew Delay,No,221324
192,TR0165,RT0095,ST0072,09-04-2025,09-04-2025 06:45,100,1323,No,Technical Issue,No,528901
193,TR0005,RT0214,ST0089,23-05-2025,23-05-2025 01:00,24,1152,No,Technical Issue,No,681308
194,TR0083,RT0064,ST0074,19-10-2025,19-10-2025 10:45,88,1053,No,Weather,No,356251
195,TR0123,RT0065,ST0022,07-04-2025,07-04-2025 10:15,42,464,No,Crew Delay,No,475865
196,TR0078,RT0270,ST0035,26-03-2025,26-03-2025 07:30,0,979,No,No Delay,Yes,1308165
197,TR0154,RT0025,ST0042,25-10-2025,25-10-2025 05:30,14,1167,No,Weather,Yes,870501
198,TR0062,RT0100,ST0024,01-04-2025,01-04-2025 10:15,0,880,No,No Delay,Yes,1264858
199,TR0132,RT0105,ST0026,28-10-2025,28-10-2025 10:30,1,1391,No,No Delay,Yes,809514
200,TR0089,RT0131,ST0031,30-01-2025,30-01-2025 04:15,43,772,No,Congestion,No,517765
201,TR0042,RT0019,ST0087,22-10-2025,22-10-2025 09:15,56,568,No,Crew Delay,No,806678
202,TR0089,RT0225,ST0002,23-06-2025,23-06-2025 00:00,0,1064,No,No Delay,Yes,1302060
203,TR0146,RT0106,ST0039,05-07-2025,05-07-2025 06:45,1,84,Yes,No Delay,No,29856
204,TR0040,RT0054,ST0097,30-01-2025,30-01-2025 03:00,120,1256,Yes,Signal Failure,No,424447
205,TR0072,RT0226,ST0088,08-09-2025,08-09-2025 12:30,0,1289,No,No Delay,Yes,1505585
206,TR0039,RT0015,ST0012,19-04-2025,19-04-2025 19:15,17,788,No,Signal Failure,No,1117784
207,TR0104,RT0048,ST0073,01-08-2025,01-08-2025 14:15,48,1090,No,Crew Delay,No,1054818
208,TR0014,RT0139,ST0044,06-08-2025,06-08-2025 15:30,28,1355,No,Crew Delay,No,1620713
209,TR0032,RT0034,ST0043,10-12-2025,10-12-2025 02:45,0,121,No,No Delay,Yes,75206
210,TR0179,RT0210,ST0067,01-07-2025,01-07-2025 20:15,38,731,No,Weather,No,579623
211,TR0125,RT0019,ST0087,08-12-2025,08-12-2025 21:45,85,757,No,Track Maintenance,No,662393
212,TR0166,RT0196,ST0088,06-02-2025,06-02-2025 02:15,0,698,No,No Delay,Yes,322445
213,TR0097,RT0115,ST0097,12-12-2025,12-12-2025 07:15,6,436,No,Crew Delay,Yes,581360
214,TR0023,RT0075,ST0094,30-05-2025,30-05-2025 15:00,0,1140,No,No Delay,Yes,924334
215,TR0063,RT0150,ST0038,07-04-2025,07-04-2025 01:45,0,203,No,No Delay,Yes,276150
216,TR0143,RT0036,ST0066,24-01-2025,24-01-2025 06:15,47,1173,No,Technical Issue,No,1194466
217,TR0153,RT0242,ST0040,21-11-2025,21-11-2025 00:30,0,842,No,No Delay,Yes,679024
218,TR0145,RT0151,ST0022,10-12-2025,10-12-2025 08:15,86,312,No,Track Maintenance,No,394028
219,TR0194,RT0063,ST0075,21-12-2025,21-12-2025 08:45,0,869,No,No Delay,Yes,1148386
220,TR0053,RT0154,ST0063,02-05-2025,02-05-2025 20:15,26,917,No,Technical Issue,No,258343
221,TR0104,RT0188,ST0059,27-03-2025,27-03-2025 17:45,11,1148,No,Congestion,Yes,1468082
222,TR0104,RT0223,ST0076,10-06-2025,10-06-2025 21:30,86,661,No,Track Maintenance,No,483860
223,TR0179,RT0093,ST0019,17-01-2025,17-01-2025 11:00,1,294,Yes,No Delay,No,41819
224,TR0039,RT0005,ST0020,01-09-2025,01-09-2025 11:30,0,195,Yes,No Delay,No,88497
225,TR0179,RT0166,ST0073,25-09-2025,25-09-2025 04:30,36,351,Yes,Signal Failure,No,72359
226,TR0198,RT0025,ST0043,13-10-2025,13-10-2025 10:15,38,652,Yes,Crew Delay,No,101053
227,TR0134,RT0098,ST0058,06-08-2025,06-08-2025 03:45,5,700,No,Crew Delay,Yes,933680
228,TR0067,RT0268,ST0082,06-01-2025,06-01-2025 15:30,0,639,No,No Delay,Yes,709705
229,TR0135,RT0150,ST0054,24-09-2025,24-09-2025 11:00,94,133,No,Technical Issue,No,135462
230,TR0179,RT0252,ST0082,23-08-2025,23-08-2025 01:30,82,1243,No,Weather,No,722984
231,TR0200,RT0084,ST0040,04-05-2025,04-05-2025 04:15,61,706,No,Congestion,No,350804
232,TR0042,RT0285,ST0100,01-03-2025,01-03-2025 07:15,0,580,No,No Delay,Yes,419005
233,TR0192,RT0172,ST0027,10-01-2025,10-01-2025 15:30,0,177,No,No Delay,Yes,197494
234,TR0015,RT0221,ST0013,16-01-2025,16-01-2025 17:00,35,700,No,Crew Delay,No,363177
235,TR0111,RT0109,ST0047,25-03-2025,25-03-2025 22:30,0,231,Yes,No Delay,No,66838
236,TR0157,RT0027,ST0072,21-06-2025,21-06-2025 02:15,16,117,No,Technical Issue,No,116114
237,TR0033,RT0246,ST0023,27-05-2025,27-05-2025 05:45,15,753,No,Track Maintenance,Yes,874601
238,TR0155,RT0055,ST0059,10-04-2025,10-04-2025 03:30,29,1370,No,Technical Issue,No,1381040
239,TR0164,RT0133,ST0077,28-09-2025,28-09-2025 21:45,63,983,No,Congestion,No,351372
240,TR0157,RT0052,ST0007,03-08-2025,03-08-2025 10:45,32,1048,No,Signal Failure,No,1494597
241,TR0038,RT0253,ST0050,26-03-2025,26-03-2025 01:00,17,1361,No,Congestion,No,1736462
242,TR0185,RT0269,ST0066,08-02-2025,08-02-2025 20:00,0,257,No,No Delay,Yes,171146
243,TR0097,RT0298,ST0003,05-01-2025,05-01-2025 12:30,41,819,No,Signal Failure,No,435508
244,TR0155,RT0079,ST0039,27-03-2025,27-03-2025 12:45,67,179,No,Technical Issue,No,134394
245,TR0183,RT0018,ST0087,14-10-2025,14-10-2025 17:30,36,1291,No,Weather,No,821159
246,TR0033,RT0258,ST0007,26-07-2025,26-07-2025 23:00,83,350,No,Track Maintenance,No,402417
247,TR0196,RT0107,ST0068,07-02-2025,07-02-2025 12:45,0,384,No,No Delay,Yes,478723
248,TR0086,RT0047,ST0055,13-09-2025,13-09-2025 11:45,110,759,No,Signal Failure,No,375957
249,TR0066,RT0246,ST0008,29-06-2025,29-06-2025 08:30,16,138,No,Crew Delay,No,177678
250,TR0010,RT0089,ST0032,19-01-2025,19-01-2025 23:15,36,759,No,Track Maintenance,No,441511
251,TR0005,RT0203,ST0019,12-06-2025,12-06-2025 00:15,0,1325,No,No Delay,Yes,1249362
252,TR0123,RT0240,ST0012,21-07-2025,21-07-2025 04:45,45,1058,No,Technical Issue,No,627307
253,TR0074,RT0268,ST0057,28-09-2025,28-09-2025 03:45,47,968,No,Signal Failure,No,472808
254,TR0097,RT0013,ST0010,29-03-2025,29-03-2025 03:30,15,1209,No,Technical Issue,Yes,1264424
255,TR0118,RT0137,ST0078,24-06-2025,24-06-2025 13:15,17,1146,No,Crew Delay,No,529369
256,TR0038,RT0173,ST0091,31-08-2025,31-08-2025 10:45,67,1277,No,Track Maintenance,No,1770962
257,TR0141,RT0230,ST0021,28-05-2025,28-05-2025 22:45,31,1266,No,Congestion,No,716893
258,TR0159,RT0198,ST0020,22-09-2025,22-09-2025 13:45,24,409,No,Congestion,No,550451
